Non-Ordinary step!!. step=483596, t=1.45079e+06, gorputza=80,k=3
Non-Ordinary step!!. step=483597, t=1.45079e+06, gorputza=78,k=3
Non-Ordinary step!!. step=483598, t=1.45079e+06, gorputza=78,k=4
Non-Ordinary step!!. step=483598, t=1.45079e+06, gorputza=80,k=4
Non-Ordinary step!!. step=483599, t=1.4508e+06, gorputza=78,k=5
Non-Ordinary step!!. step=483599, t=1.4508e+06, gorputza=79,k=5
Non-Ordinary step!!. step=483599, t=1.4508e+06, gorputza=80,k=5
Non-Ordinary step!!. step=483600, t=1.4508e+06, gorputza=78,k=4
Non-Ordinary step!!. step=483600, t=1.4508e+06, gorputza=79,k=4
Non-Ordinary step!!. step=483600, t=1.4508e+06, gorputza=80,k=4
Non-Ordinary step!!. step=483601, t=1.4508e+06, gorputza=78,k=4
Non-Ordinary step!!. step=483601, t=1.4508e+06, gorputza=79,k=4
Non-Ordinary step!!. step=483601, t=1.4508e+06, gorputza=80,k=4
Non-Ordinary step!!. step=483602, t=1.45081e+06, gorputza=80,k=4
Non-Ordinary step!!. step=557806, t=1.67342e+06, gorputza=82,k=3
Non-Ordinary step!!. step=557806, t=1.67342e+06, gorputza=83,k=3
Non-Ordinary step!!. step=557807, t=1.67342e+06, gorputza=81,k=4
Non-Ordinary step!!. step=557807, t=1.67342e+06, gorputza=82,k=4
Non-Ordinary step!!. step=557807, t=1.67342e+06, gorputza=83,k=4
Non-Ordinary step!!. step=557808, t=1.67342e+06, gorputza=81,k=3
Non-Ordinary step!!. step=557808, t=1.67342e+06, gorputza=82,k=3
Non-Ordinary step!!. step=557808, t=1.67342e+06, gorputza=83,k=3
Non-Ordinary step!!. step=682871, t=2.04861e+06, gorputza=79,k=4
Non-Ordinary step!!. step=682871, t=2.04861e+06, gorputza=80,k=4
Non-Ordinary step!!. step=682872, t=2.04862e+06, gorputza=78,k=4
Non-Ordinary step!!. step=682872, t=2.04862e+06, gorputza=79,k=4
Non-Ordinary step!!. step=682872, t=2.04862e+06, gorputza=80,k=4
Non-Ordinary step!!. step=682873, t=2.04862e+06, gorputza=78,k=4
Non-Ordinary step!!. step=682873, t=2.04862e+06, gorputza=80,k=4
Non-Ordinary step!!. step=682874, t=2.04862e+06, gorputza=78,k=4
Non-Ordinary step!!. step=682874, t=2.04862e+06, gorputza=79,k=4
Non-Ordinary step!!. step=682874, t=2.04862e+06, gorputza=80,k=4
Non-Ordinary step!!. step=682875, t=2.04862e+06, gorputza=79,k=3
Non-Ordinary step!!. step=682875, t=2.04862e+06, gorputza=80,k=3
Non-Ordinary step!!. step=699939, t=2.09982e+06, gorputza=83,k=3
Non-Ordinary step!!. step=699940, t=2.09982e+06, gorputza=81,k=4
Non-Ordinary step!!. step=699940, t=2.09982e+06, gorputza=82,k=4
Non-Ordinary step!!. step=699940, t=2.09982e+06, gorputza=83,k=4
Non-Ordinary step!!. step=699941, t=2.09982e+06, gorputza=36,k=6
Non-Ordinary step!!. step=699941, t=2.09982e+06, gorputza=37,k=6
Non-Ordinary step!!. step=699941, t=2.09982e+06, gorputza=38,k=6
Non-Ordinary step!!. step=699941, t=2.09982e+06, gorputza=69,k=6
Non-Ordinary step!!. step=699941, t=2.09982e+06, gorputza=70,k=6
Non-Ordinary step!!. step=699941, t=2.09982e+06, gorputza=71,k=6
Non-Ordinary step!!. step=699941, t=2.09982e+06, gorputza=81,k=6
Non-Ordinary step!!. step=699941, t=2.09982e+06, gorputza=82,k=6
Non-Ordinary step!!. step=699941, t=2.09982e+06, gorputza=83,k=6
Non-Ordinary step!!. step=699942, t=2.09983e+06, gorputza=36,k=10
Non-Ordinary step!!. step=699942, t=2.09983e+06, gorputza=37,k=10
Non-Ordinary step!!. step=699942, t=2.09983e+06, gorputza=38,k=10
Non-Ordinary step!!. step=699942, t=2.09983e+06, gorputza=69,k=10
Non-Ordinary step!!. step=699942, t=2.09983e+06, gorputza=70,k=10
Non-Ordinary step!!. step=699942, t=2.09983e+06, gorputza=71,k=10
Non-Ordinary step!!. step=699942, t=2.09983e+06, gorputza=81,k=10
Non-Ordinary step!!. step=699942, t=2.09983e+06, gorputza=82,k=10
Non-Ordinary step!!. step=699942, t=2.09983e+06, gorputza=83,k=10
Non-Ordinary step!!. step=699943, t=2.09983e+06, gorputza=25,k=11
Non-Ordinary step!!. step=699943, t=2.09983e+06, gorputza=26,k=11
Non-Ordinary step!!. step=699943, t=2.09983e+06, gorputza=36,k=11
Non-Ordinary step!!. step=699943, t=2.09983e+06, gorputza=37,k=11
Non-Ordinary step!!. step=699943, t=2.09983e+06, gorputza=38,k=11
Non-Ordinary step!!. step=699943, t=2.09983e+06, gorputza=69,k=11
Non-Ordinary step!!. step=699943, t=2.09983e+06, gorputza=70,k=11
Non-Ordinary step!!. step=699943, t=2.09983e+06, gorputza=71,k=11
Non-Ordinary step!!. step=699943, t=2.09983e+06, gorputza=81,k=11
Non-Ordinary step!!. step=699943, t=2.09983e+06, gorputza=82,k=11
Non-Ordinary step!!. step=699943, t=2.09983e+06, gorputza=83,k=11
Non-Ordinary step!!. step=699944, t=2.09983e+06, gorputza=26,k=6
Non-Ordinary step!!. step=699944, t=2.09983e+06, gorputza=36,k=6
Non-Ordinary step!!. step=699944, t=2.09983e+06, gorputza=37,k=6
Non-Ordinary step!!. step=699944, t=2.09983e+06, gorputza=38,k=6
Non-Ordinary step!!. step=699944, t=2.09983e+06, gorputza=69,k=6
Non-Ordinary step!!. step=699944, t=2.09983e+06, gorputza=70,k=6
Non-Ordinary step!!. step=699944, t=2.09983e+06, gorputza=71,k=6
Non-Ordinary step!!. step=699944, t=2.09983e+06, gorputza=81,k=6
Non-Ordinary step!!. step=699944, t=2.09983e+06, gorputza=82,k=6
Non-Ordinary step!!. step=699944, t=2.09983e+06, gorputza=83,k=6
Non-Ordinary step!!. step=699945, t=2.09984e+06, gorputza=36,k=4
Non-Ordinary step!!. step=699945, t=2.09984e+06, gorputza=38,k=4
Non-Ordinary step!!. step=699945, t=2.09984e+06, gorputza=69,k=4
Non-Ordinary step!!. step=699945, t=2.09984e+06, gorputza=70,k=4
Non-Ordinary step!!. step=699945, t=2.09984e+06, gorputza=71,k=4
Non-Ordinary step!!. step=699945, t=2.09984e+06, gorputza=81,k=4
Non-Ordinary step!!. step=699945, t=2.09984e+06, gorputza=82,k=4
Non-Ordinary step!!. step=699945, t=2.09984e+06, gorputza=83,k=4
Non-Ordinary step!!. step=711593, t=2.13478e+06, gorputza=80,k=3
Non-Ordinary step!!. step=711594, t=2.13478e+06, gorputza=78,k=4
